iter	Passed	Remaining
0	31778	6323856
1	63671	6303525
2	95482	6270007
3	125747	6161611
4	154976	6044089
5	184264	5957884
6	213445	5885001
7	242560	5821451
8	273668	5807856
9	289412	5498844
10	299952	5153727
11	310034	4857209
12	320190	4605822
13	330682	4393358
14	340792	4203113
15	351160	4038345
16	361522	3891684
17	371882	3760148
18	382244	3641377
19	392374	3531373
20	402621	3431868
21	413031	3341802
22	423337	3257856
23	434082	3183272
24	444383	3110684
25	454690	3042926
26	465054	2979793
27	475257	2919439
28	486330	2867671
29	496716	2814726
30	507147	2764771
31	517482	2716781
32	527728	2670627
33	538569	2629486
34	548895	2587651
35	559441	2548567
36	569776	2510095
37	580176	2473385
38	590456	2437524
39	601006	2404026
40	611344	2370823
41	621963	2339765
42	632386	2308946
43	642841	2279164
44	653222	2249987
45	664142	2223434
46	674398	2195383
47	684856	2168711
48	695180	2142291
49	705621	2116864
50	715954	2091711
51	726406	2067465
52	736631	2043109
53	747329	2020557
54	757741	1997682
55	767938	1974700
56	778323	1952635
57	788625	1930771
58	799168	1909878
59	809381	1888556
60	820223	1869032
61	830726	1849037
62	841044	1828938
63	851511	1809461
64	861870	1790037
65	872467	1771373
66	883205	1753229
67	893527	1734494
68	904076	1716435
69	914679	1698690
70	925111	1680836
71	935514	1663137
72	946400	1646477
73	956791	1629131
74	967203	1612005
75	977707	1595207
76	987960	1578169
77	998387	1561581
78	1009294	1545881
79	1019593	1529389
80	1030165	1513453
81	1040669	1497549
82	1050878	1481359
83	1061353	1465678
84	1072169	1450582
85	1082549	1435007
86	1093033	1419687
87	1103353	1404268
88	1113778	1389094
89	1123909	1373666
90	1134754	1359211
91	1145352	1344544
92	1155888	1329893
93	1166258	1315142
94	1176781	1300653
95	1187600	1286567
96	1198086	1272195
97	1208380	1257701
98	1218786	1243408
99	1229362	1229362
100	1240295	1215735
101	1250677	1201631
102	1261064	1187604
103	1271451	1173647
104	1281824	1159746
105	1292278	1145982
106	1302652	1132211
107	1312929	1118421
108	1323558	1104989
109	1333776	1091271
110	1344256	1077827
111	1354562	1064299
112	1364761	1050745
113	1375557	1037701
114	1385876	1024343
115	1396223	1011058
116	1406578	997828
117	1417430	984994
118	1427709	971802
119	1438011	958674
120	1448347	945615
121	1458759	932649
122	1469765	920097
123	1480528	907420
124	1491044	894626
125	1501757	881984
126	1512659	869481
127	1523065	856724
128	1533606	844077
129	1544145	831462
130	1554925	819006
131	1565796	806622
132	1576411	794131
133	1586925	781619
134	1597449	769142
135	1608101	756753
136	1618688	744360
137	1629326	732016
138	1639752	719603
139	1650371	707302
140	1661235	695127
141	1671672	682795
142	1682323	670576
143	1692932	658362
144	1703443	646133
145	1713790	633867
146	1724711	621834
147	1735305	609702
148	1745826	597564
149	1756252	585417
150	1766725	573308
151	1777072	561180
152	1787587	549128
153	1798481	537208
154	1808968	525184
155	1819400	513164
156	1829806	501157
157	1840605	489274
158	1851025	477308
159	1861581	465395
160	1872147	453501
161	1882872	441661
162	1893313	429770
163	1903896	417928
164	1914772	406163
165	1925302	394338
166	1935902	382543
167	1946572	370775
168	1957559	359078
169	1968087	347309
170	1978650	335560
171	1989061	323800
172	1999937	312129
173	2010377	300401
174	2020872	288696
175	2031432	277013
176	2042407	265397
177	2052849	253722
178	2063446	242080
179	2074274	230474
180	2084690	218834
181	2095192	207216
182	2105695	195611
183	2116253	184022
184	2126809	172443
185	2137639	160897
186	2148272	149345
187	2159140	137817
188	2169750	126281
189	2180339	114754
190	2190946	103238
191	2201529	91730
192	2212516	80246
193	2223153	68757
194	2234277	57289
195	2244880	45813
196	2255454	34347
197	2266075	22889
198	2276557	11439
199	2287541	0
